id,prac_2016,vik_2016,prac_2018,vik_2018,prac_2020,vik_2020,prac_2022,vik_2022,datum_exportu,ObjectId,Shape__Length
343,20,60,30,70,30,60,40,40,2024/08/05 00:00:00+00,1,9977.86694467932
340,30,60,45,80,40,70,40,50,2024/08/05 00:00:00+00,2,1519.1472142321
331,15,20,15,20,10,15,20,15,2024/08/05 00:00:00+00,3,1378.85688444
330,0,0,0,0,15,0,15,0,2024/08/05 00:00:00+00,4,181.803627077447
342,15,30,25,35,20,30,30,25,2024/08/05 00:00:00+00,5,821.659849735589
327,20,30,20,30,20,20,20,20,2024/08/05 00:00:00+00,6,461.973310851248
325,30,40,20,30,20,20,20,20,2024/08/05 00:00:00+00,7,427.167570153125
338,115,220,80,150,80,120,75,120,2024/08/05 00:00:00+00,8,691.694142109629
308,10,25,12,35,10,30,10,30,2024/08/05 00:00:00+00,9,1133.90820711469
339,70,150,50,140,40,110,50,120,2024/08/05 00:00:00+00,10,1219.74392563519
341,70,150,50,150,40,110,40,120,2024/08/05 00:00:00+00,11,1766.46832915872
307,28,0,25,0,25,0,25,0,2024/08/05 00:00:00+00,12,830.094637946998
306,30,35,25,30,20,25,20,25,2024/08/05 00:00:00+00,13,533.996632132568
304,35,40,30,30,20,20,20,20,2024/08/05 00:00:00+00,14,2230.96784132096
301,14,0,14,0,14,0,14,0,2024/08/05 00:00:00+00,15,81.4337011475069
302,25,25,25,25,20,20,20,20,2024/08/05 00:00:00+00,16,874.649105345885
310,25,25,25,25,20,20,20,20,2024/08/05 00:00:00+00,17,103.056575823029
127,80,80,60,50,85,60,85,60,2024/08/05 00:00:00+00,18,97.6207717072207
311,15,15,10,10,10,10,10,10,2024/08/05 00:00:00+00,19,542.194356588463
324,8,15,10,10,10,10,10,10,2024/08/05 00:00:00+00,20,453.461650306612
337,15,15,10,10,10,10,10,10,2024/08/05 00:00:00+00,21,822.401110182606
44,20,0,20,0,15,0,15,0,2024/08/05 00:00:00+00,22,496.350676719116
323,100,200,80,180,90,150,100,140,2024/08/05 00:00:00+00,23,1179.00317936917
296,70,200,90,200,120,170,110,150,2024/08/05 00:00:00+00,24,1159.68575684176
333,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,25,1183.80117155539
332,0,0,0,0,10,0,10,0,2024/08/05 00:00:00+00,26,1027.07754630778
328,25,0,20,0,15,0,15,0,2024/08/05 00:00:00+00,27,955.374590444855
329,0,0,0,0,10,0,10,0,2024/08/05 00:00:00+00,28,633.182796358614
336,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,29,237.738099401434
322,10,10,15,10,22,10,30,20,2024/08/05 00:00:00+00,30,1836.78279488055
312,25,0,20,0,15,0,15,0,2024/08/05 00:00:00+00,31,2626.03886304169
313,20,0,15,0,10,0,10,0,2024/08/05 00:00:00+00,32,3362.36547563757
317,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,33,337.76717203226
320,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,34,365.710581395963
318,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,35,768.128996509445
316,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,36,1016.6171504273
315,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,37,626.23681482085
24,25,15,25,15,30,15,30,15,2024/08/05 00:00:00+00,38,132.640975497333
321,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,39,778.099044354158
319,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,40,3102.66429940316
314,0,0,15,0,15,0,15,0,2024/08/05 00:00:00+00,41,1849.12156519719
334,20,0,20,0,22,0,22,0,2024/08/05 00:00:00+00,42,788.226637689705
206,26,25,26,25,26,25,34,25,2024/08/05 00:00:00+00,43,1256.68634536075
335,0,0,15,0,20,0,20,0,2024/08/05 00:00:00+00,44,3107.34459332839
245,15,0,15,0,10,0,10,0,2024/08/05 00:00:00+00,45,2710.51399375699
244,15,0,15,0,10,0,10,0,2024/08/05 00:00:00+00,46,236.51708594363
246,15,0,15,0,15,0,15,0,2024/08/05 00:00:00+00,47,1397.62828828279
243,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,48,1405.56171450739
242,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,49,657.776678117892
247,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,50,1044.41388904633
248,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,51,1353.83704937383
215,10,0,10,0,10,0,10,0,2024/08/05 00:00:00+00,52,1476.54380935104
249,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,53,4569.30931448467
230,15,0,15,0,15,0,15,0,2024/08/05 00:00:00+00,54,616.07207577656
250,10,0,10,0,10,0,10,0,2024/08/05 00:00:00+00,55,2824.8804328922
251,10,0,10,0,10,0,10,0,2024/08/05 00:00:00+00,56,1571.58082748771
253,10,0,10,0,10,0,10,0,2024/08/05 00:00:00+00,57,2666.05822683699
